word,part_of_speech,semantic_category,errors/0/misspelling,errors/0/error_type,errors/0/frequency,errors/0/severity,errors/0/affected_portion,errors/1/misspelling,errors/1/error_type,errors/1/frequency,errors/1/severity,errors/1/affected_portion,errors/2/misspelling,errors/2/error_type,errors/2/frequency,errors/2/severity,errors/2/affected_portion,errors/3/misspelling,errors/3/error_type,errors/3/frequency,errors/3/severity,errors/3/affected_portion,errors/4/misspelling,errors/4/error_type,errors/4/frequency,errors/4/severity,errors/4/affected_portion,errors/5/misspelling,errors/5/error_type,errors/5/frequency,errors/5/severity,errors/5/affected_portion
tatu,noun,numbers,tetu,vowel substitution,21,4,a → e,tato,vowel substitution,23,5,u → o,tu,syllable omission,8,3,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,18,1,a → e,tato,vowel substitution,17,5,u → o,tu,syllable omission,7,3,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,23,3,a → e,tato,vowel substitution,22,3,u → o,tu,syllable omission,9,4,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,13,4,a → e,tato,vowel substitution,9,4,u → o,tu,syllable omission,10,3,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,14,5,a → e,tato,vowel substitution,15,4,u → o,tu,syllable omission,5,5,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,17,2,a → e,tato,vowel substitution,9,1,u → o,tu,syllable omission,7,3,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,12,5,a → e,tato,vowel substitution,19,4,u → o,tu,syllable omission,9,4,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,8,4,a → e,tato,vowel substitution,15,1,u → o,tu,syllable omission,7,3,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,5,5,a → e,tato,vowel substitution,9,2,u → o,tu,syllable omission,9,3,ta,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,16,1,e → i,e,syllable omission,7,5,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,14,5,e → i,e,syllable omission,6,3,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,11,1,e → i,e,syllable omission,6,3,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,14,2,e → i,e,syllable omission,6,4,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,5,4,e → i,e,syllable omission,10,4,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,22,4,e → i,e,syllable omission,2,3,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,5,1,e → i,e,syllable omission,4,5,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,9,5,e → i,e,syllable omission,7,4,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,16,1,e → i,e,syllable omission,1,2,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,24,2,e → i,e,syllable omission,7,3,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,18,3,e → i,e,syllable omission,5,2,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,14,2,e → i,e,syllable omission,7,3,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,21,1,e → i,e,syllable omission,7,3,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,17,5,e → i,e,syllable omission,5,5,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,9,3,e → i,e,syllable omission,9,5,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,17,4,e → i,e,syllable omission,2,5,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,11,5,e → i,e,syllable omission,9,4,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,23,5,e → i,e,syllable omission,8,3,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,21,4,e → i,e,syllable omission,8,2,nn,,,,,,,,,,,,,,,,,,,,
nne,noun,numbers,nni,vowel substitution,19,1,e → i,e,syllable omission,4,3,nn,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,13,4,a → e,no,syllable omission,5,3,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,20,3,a → e,no,syllable omission,8,5,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,19,1,a → e,no,syllable omission,1,2,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,25,1,a → e,no,syllable omission,1,3,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,6,3,a → e,no,syllable omission,4,4,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,17,3,a → e,no,syllable omission,1,3,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,11,4,a → e,no,syllable omission,7,4,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,6,1,a → e,no,syllable omission,9,3,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,24,2,a → e,no,syllable omission,4,2,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,8,4,a → e,no,syllable omission,1,2,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,18,5,a → e,no,syllable omission,3,2,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,12,4,a → e,no,syllable omission,5,5,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,9,1,a → e,no,syllable omission,1,4,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,20,3,a → e,no,syllable omission,2,4,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,9,3,a → e,no,syllable omission,10,2,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,6,3,a → e,no,syllable omission,3,4,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,24,5,a → e,no,syllable omission,6,5,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,15,5,a → e,no,syllable omission,9,5,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,14,1,a → e,no,syllable omission,10,2,ta,,,,,,,,,,,,,,,,,,,,
tano,noun,numbers,teno,vowel substitution,19,2,a → e,no,syllable omission,3,4,ta,,,,,,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,11,3,a → e,seta,vowel substitution,8,5,i → e,ta,syllable omission,2,3,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,14,5,a → e,seta,vowel substitution,10,4,i → e,ta,syllable omission,7,3,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,8,3,a → e,seta,vowel substitution,16,1,i → e,ta,syllable omission,10,2,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,17,4,a → e,seta,vowel substitution,24,1,i → e,ta,syllable omission,9,4,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,12,3,a → e,seta,vowel substitution,5,3,i → e,ta,syllable omission,6,3,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,25,1,a → e,seta,vowel substitution,12,3,i → e,ta,syllable omission,3,5,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,18,3,a → e,seta,vowel substitution,11,5,i → e,ta,syllable omission,6,3,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,17,2,a → e,seta,vowel substitution,22,3,i → e,ta,syllable omission,6,4,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,7,4,a → e,seta,vowel substitution,24,2,i → e,ta,syllable omission,8,4,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,16,3,a → e,seta,vowel substitution,5,5,i → e,ta,syllable omission,1,3,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,11,3,a → e,seta,vowel substitution,23,1,i → e,ta,syllable omission,9,4,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,8,5,a → e,seta,vowel substitution,23,5,i → e,ta,syllable omission,2,2,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,18,5,a → e,seta,vowel substitution,20,5,i → e,ta,syllable omission,9,3,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,6,4,a → e,seta,vowel substitution,20,4,i → e,ta,syllable omission,6,2,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,11,1,a → e,seta,vowel substitution,25,2,i → e,ta,syllable omission,10,2,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,15,3,a → e,seta,vowel substitution,25,4,i → e,ta,syllable omission,4,3,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,23,1,a → e,seta,vowel substitution,7,1,i → e,ta,syllable omission,7,4,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,12,2,a → e,seta,vowel substitution,25,3,i → e,ta,syllable omission,9,2,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,7,4,a → e,seta,vowel substitution,17,3,i → e,ta,syllable omission,4,5,si,,,,,,,,,,,,,,,
sita,noun,numbers,site,vowel substitution,8,4,a → e,seta,vowel substitution,24,2,i → e,ta,syllable omission,2,5,si,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,6,5,b → d,sebe,vowel substitution,25,4,a → e,ba,syllable omission,7,3,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,16,4,b → d,sebe,vowel substitution,19,4,a → e,ba,syllable omission,2,4,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,7,3,b → d,sebe,vowel substitution,24,5,a → e,ba,syllable omission,7,5,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,9,3,b → d,sebe,vowel substitution,14,4,a → e,ba,syllable omission,3,4,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,8,4,b → d,sebe,vowel substitution,16,3,a → e,ba,syllable omission,2,3,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,13,1,b → d,sebe,vowel substitution,14,3,a → e,ba,syllable omission,10,3,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,17,2,b → d,sebe,vowel substitution,12,5,a → e,ba,syllable omission,10,4,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,17,5,b → d,sebe,vowel substitution,6,4,a → e,ba,syllable omission,10,3,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,14,3,b → d,sebe,vowel substitution,19,3,a → e,ba,syllable omission,3,3,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,8,4,b → d,sebe,vowel substitution,14,4,a → e,ba,syllable omission,10,3,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,15,5,b → d,sebe,vowel substitution,25,5,a → e,ba,syllable omission,4,5,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,14,4,b → d,sebe,vowel substitution,24,1,a → e,ba,syllable omission,1,2,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,10,5,b → d,sebe,vowel substitution,13,4,a → e,ba,syllable omission,3,2,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,7,4,b → d,sebe,vowel substitution,25,2,a → e,ba,syllable omission,9,3,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,10,1,b → d,sebe,vowel substitution,15,3,a → e,ba,syllable omission,2,4,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,11,1,b → d,sebe,vowel substitution,12,5,a → e,ba,syllable omission,9,3,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,9,5,b → d,sebe,vowel substitution,21,1,a → e,ba,syllable omission,5,4,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,7,4,b → d,sebe,vowel substitution,23,4,a → e,ba,syllable omission,4,2,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,6,4,b → d,sebe,vowel substitution,12,2,a → e,ba,syllable omission,2,2,sa,,,,,,,,,,,,,,,
saba,noun,numbers,sada,letter reversal,6,5,b → d,sebe,vowel substitution,13,2,a → e,ba,syllable omission,4,4,sa,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,21,5,a → e,nani,vowel substitution,14,1,e → i,ne,syllable omission,7,5,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,25,1,a → e,nani,vowel substitution,11,5,e → i,ne,syllable omission,1,4,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,16,3,a → e,nani,vowel substitution,13,1,e → i,ne,syllable omission,8,2,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,17,2,a → e,nani,vowel substitution,25,4,e → i,ne,syllable omission,6,2,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,25,1,a → e,nani,vowel substitution,25,4,e → i,ne,syllable omission,8,4,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,6,3,a → e,nani,vowel substitution,12,4,e → i,ne,syllable omission,2,2,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,14,3,a → e,nani,vowel substitution,23,1,e → i,ne,syllable omission,1,5,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,16,3,a → e,nani,vowel substitution,21,5,e → i,ne,syllable omission,10,3,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,9,3,a → e,nani,vowel substitution,8,1,e → i,ne,syllable omission,2,5,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,7,1,a → e,nani,vowel substitution,22,3,e → i,ne,syllable omission,4,3,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,13,4,a → e,nani,vowel substitution,25,5,e → i,ne,syllable omission,6,3,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,17,1,a → e,nani,vowel substitution,13,3,e → i,ne,syllable omission,5,2,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,15,5,a → e,nani,vowel substitution,19,5,e → i,ne,syllable omission,6,2,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,11,2,a → e,nani,vowel substitution,25,2,e → i,ne,syllable omission,4,3,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,23,4,a → e,nani,vowel substitution,16,2,e → i,ne,syllable omission,8,3,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,5,3,a → e,nani,vowel substitution,18,5,e → i,ne,syllable omission,9,2,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,11,5,a → e,nani,vowel substitution,9,1,e → i,ne,syllable omission,9,3,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,16,3,a → e,nani,vowel substitution,9,1,e → i,ne,syllable omission,4,5,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,15,1,a → e,nani,vowel substitution,10,3,e → i,ne,syllable omission,8,3,na,,,,,,,,,,,,,,,
nane,noun,numbers,nene,vowel substitution,13,1,a → e,nani,vowel substitution,22,3,e → i,ne,syllable omission,4,2,na,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,10,5,a → e,tesa,vowel substitution,10,2,i → e,sa,syllable omission,3,3,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,20,1,a → e,tesa,vowel substitution,15,1,i → e,sa,syllable omission,4,3,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,19,2,a → e,tesa,vowel substitution,17,5,i → e,sa,syllable omission,2,2,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,22,5,a → e,tesa,vowel substitution,20,5,i → e,sa,syllable omission,6,2,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,25,5,a → e,tesa,vowel substitution,21,5,i → e,sa,syllable omission,2,2,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,5,5,a → e,tesa,vowel substitution,22,2,i → e,sa,syllable omission,4,2,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,10,2,a → e,tesa,vowel substitution,25,3,i → e,sa,syllable omission,6,2,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,13,4,a → e,tesa,vowel substitution,11,2,i → e,sa,syllable omission,6,5,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,23,2,a → e,tesa,vowel substitution,17,2,i → e,sa,syllable omission,9,3,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,11,5,a → e,tesa,vowel substitution,15,1,i → e,sa,syllable omission,2,4,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,17,4,a → e,tesa,vowel substitution,9,4,i → e,sa,syllable omission,6,3,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,5,4,a → e,tesa,vowel substitution,11,2,i → e,sa,syllable omission,5,5,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,18,1,a → e,tesa,vowel substitution,24,5,i → e,sa,syllable omission,7,3,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,15,5,a → e,tesa,vowel substitution,17,4,i → e,sa,syllable omission,4,5,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,17,3,a → e,tesa,vowel substitution,19,4,i → e,sa,syllable omission,4,4,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,20,2,a → e,tesa,vowel substitution,25,4,i → e,sa,syllable omission,1,4,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,25,4,a → e,tesa,vowel substitution,12,5,i → e,sa,syllable omission,8,2,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,9,4,a → e,tesa,vowel substitution,20,5,i → e,sa,syllable omission,4,5,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,16,1,a → e,tesa,vowel substitution,21,4,i → e,sa,syllable omission,10,3,ti,,,,,,,,,,,,,,,
tisa,noun,numbers,tise,vowel substitution,8,1,a → e,tesa,vowel substitution,20,1,i → e,sa,syllable omission,6,5,ti,,,,,,,,,,,,,,,
